source,status,paper_slug,paper_display,circulation,month,page,advertiser_raw,advertiser_normalized,category,size_class,size_dims,size_sq_in,position,phone,website,confidence,review_needed,notes
auto_phone_box,renna_self,berkeley-heights-news,Berkeley Heights News,5000,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,renna_self,berkeley-heights-news,Berkeley Heights News,5000,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,3,Summit Dentist (summitdentist.com),Summit Dentist (summitdentist.com),paid,18FP,10x14,140,full_page,908-273-3873,www.summitdentist.com,medium,no,Comfortable Caring Dentistry
auto_full_page_hash,paid_candidate,berkeley-heights-news,Berkeley Heights News,5000,2026-01,5,Unknown full-page creative 6657b95fab55,Unknown full-page creative 6657b95fab55,unknown,18FP,10x14,140,full_page,,,low,yes,Full-page/back-cover ad-like creative with no extractable phone/text. Needs visual review.
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,6,Tussel-Holsten realtor neighborhood,Tussel-Holsten realtor neighborhood,paid,6U,6.5x6.25 or 10x4,40,bottom,908-370-1123; 908-522-9444; 973-390-3826,gmail.com; yahoo.com,medium,no,Berkeley Heights
auto_full_page_hash,paid_candidate,berkeley-heights-news,Berkeley Heights News,5000,2026-01,7,Unknown full-page creative 4542e9f13797,Unknown full-page creative 4542e9f13797,unknown,18FP,10x14,140,full_page,,,low,yes,Full-page/back-cover ad-like creative with no extractable phone/text. Needs visual review.
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,8,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,9,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,10,Pizzano Photo Studio (residential/commercial photo),Pizzano Photo Studio (residential/commercial photo),paid,9HP,10x7 or 6.5x9,65,inline,973-566-9999,anthonypaternoairductcleaning.com,medium,no,35 yr business - check size
auto_full_page_hash,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,11,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,18FP,10x14,140,full_page,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,12,Dr. Murphy Suburban Chiropractic Chatham,Dr. Murphy Suburban Chiropractic Chatham,paid,2U,6.5x2 or 3.25x4,13,bottom,973-635-0036,www.drmurphy.com,medium,no,Small inline ad
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,12,Julia DeMilio Dog Walker / Pet Sitter,Julia DeMilio Dog Walker / Pet Sitter,paid,1U,3.25x2,6.5,inline,908-370-3700,gmail.com,medium,no,All breeds
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,13,My Handyman & Painter LLC,My Handyman & Painter,services,18FP,10x14,140,full_page,732-331-9572,www.myhandymanandpainter.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,15,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,2U,6.5x2 or 3.25x4,13,bottom,908-964-4004,facebook.com; gmail.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_full_page_hash,paid,berkeley-heights-news,Berkeley Heights News,5000,2026-01,16,Best Places Expo / Ideal-LIVING,Best Places Expo,real_estate,BACK,10x14,140,back_cover,800-736-0321,BestPlacesExpo.com,medium,no,Matched full-page creative hash from verified Westfield page 7.
auto_phone_box,renna_self,clark-monthly,Clark Monthly,6800,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,2,Eyes On You Optometric Rahway,Eyes On You Optometric Rahway,paid,9HP,10x7 or 6.5x9,65,inline,732-388-3900,rahwayeyedoctor.com,medium,no,Dr M Williams
auto_phone_box,renna_self,clark-monthly,Clark Monthly,6800,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,3,Lkaz realty office,Lkaz realty office,paid,18FP,10x14,140,full_page,732-396-3995; 732-713-4984,comcast.net,medium,no,Comcast.net email
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,3,Lkaz realty office,Lkaz realty office,paid,18FP,10x14,140,full_page,732-396-3995; 732-713-4984,comcast.net,medium,no,Comcast.net email
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,4,St Michael School Cranford (SMS),St Michael School Cranford,education,6U,3.25x12,40,inline,908-276-9425,verizon.net; www.smscranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_full_page_hash,paid_candidate,clark-monthly,Clark Monthly,6800,2026-01,5,Unknown full-page creative 0650e0faa6d3,Unknown full-page creative 0650e0faa6d3,unknown,18FP,10x14,140,full_page,,,low,yes,Full-page/back-cover ad-like creative with no extractable phone/text. Needs visual review.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,6,"Lost Dog $2,500 reward (Westfield/Fanwood)",Lost Dog Classified,other,2U,3.25x4,13,bottom,908-370-1903,,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,6,"Lost Dog $2,500 reward (Westfield/Fanwood)",Lost Dog Classified,other,2U,3.25x4,13,bottom,908-370-1903,,medium,no,Matched to verified Westfield advertiser by phone.
auto_full_page_hash,paid,clark-monthly,Clark Monthly,6800,2026-01,7,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,18FP,10x14,140,full_page,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
